experiment,dropout,sample_count,seed,method,runtime_seconds,ordering,restart_stability,direction_dispersion,pure_column_curvature
E1_synthetic_chain,0.0,400,20260916,soft_iot,0.4367523999999321,1.0,1.0,0.0028558627773559563,2.049029461659302
E1_synthetic_chain,0.0,400,20260916,hard_ot,0.0649185000002035,1.0,1.0,0.036036525408772654,0.0
E1_synthetic_chain,0.0,400,20260917,soft_iot,0.3359136999997645,1.0,1.0,0.017385305830758778,2.7807142775060356
E1_synthetic_chain,0.0,400,20260917,hard_ot,0.06112459999985731,1.0,1.0,0.08134018534233269,0.0
E1_synthetic_chain,0.0,400,20260918,soft_iot,0.3602085000002262,0.8285714285714287,1.0,0.0271048295512809,2.2674160300439894
E1_synthetic_chain,0.0,400,20260918,hard_ot,0.07295729999987088,0.8285714285714287,1.0,0.06917591243761742,0.0
E1_synthetic_chain,0.0,400,20260919,soft_iot,0.3086998999997377,0.942857142857143,1.0,0.00798746137715774,1.1729450619668569
E1_synthetic_chain,0.0,400,20260919,hard_ot,0.07203639999988809,0.942857142857143,1.0,0.10829273784033273,-8.881784197001252e-10
E1_synthetic_chain,0.0,400,20260920,soft_iot,0.3142189000000144,0.942857142857143,1.0,0.006580870768070764,1.5078490909203879
E1_synthetic_chain,0.0,400,20260920,hard_ot,0.0639249000005293,0.942857142857143,1.0,0.1185656548722684,0.0
E1_synthetic_chain,0.0,2000,20260916,soft_iot,0.40512070000022504,0.942857142857143,1.0,0.0034582982014068953,2.036814221284544
E1_synthetic_chain,0.0,2000,20260916,hard_ot,0.06683799999973417,0.942857142857143,1.0,0.05458093279017383,3.552713678800501e-09
E1_synthetic_chain,0.0,2000,20260917,soft_iot,0.3355667000005269,0.942857142857143,1.0,0.014969827724542178,2.7309486227977686
E1_synthetic_chain,0.0,2000,20260917,hard_ot,0.07342450000032841,0.942857142857143,1.0,0.07219130573154066,0.0
E1_synthetic_chain,0.0,2000,20260918,soft_iot,0.3559921999994913,0.942857142857143,1.0,0.024791913079012337,2.0860002711842185
E1_synthetic_chain,0.0,2000,20260918,hard_ot,0.06545249999999214,0.942857142857143,1.0,0.07961821882474347,0.0
E1_synthetic_chain,0.0,2000,20260919,soft_iot,0.33394459999999526,0.942857142857143,1.0,0.008990809627140432,1.2878362598556237
E1_synthetic_chain,0.0,2000,20260919,hard_ot,0.0685646000001725,0.942857142857143,1.0,0.09654301343803547,3.552713678800501e-09
E1_synthetic_chain,0.0,2000,20260920,soft_iot,0.3608542000001762,0.942857142857143,1.0,0.006423822322515563,1.5175829783942163
E1_synthetic_chain,0.0,2000,20260920,hard_ot,0.08672430000024178,0.942857142857143,1.0,0.09891060943924442,0.0
E1_synthetic_chain,0.0,10000,20260916,soft_iot,0.4500606000001426,0.942857142857143,1.0,0.0033697270606889325,2.002810882473227
E1_synthetic_chain,0.0,10000,20260916,hard_ot,0.08168019999993703,0.942857142857143,1.0,0.050255199173318256,0.0
E1_synthetic_chain,0.0,10000,20260917,soft_iot,0.3840358000006745,0.942857142857143,1.0,0.01611066521851926,2.7036538625679896
E1_synthetic_chain,0.0,10000,20260917,hard_ot,0.07240120000005845,0.942857142857143,1.0,0.07432310606416669,0.0
E1_synthetic_chain,0.0,10000,20260918,soft_iot,0.3908295999999609,0.8285714285714287,1.0,0.025590858913747534,2.184949353889465
E1_synthetic_chain,0.0,10000,20260918,hard_ot,0.07168949999959295,0.8285714285714287,1.0,0.08600236422670532,0.0
E1_synthetic_chain,0.0,10000,20260919,soft_iot,0.31212629999936325,0.942857142857143,1.0,0.00839391996878417,1.2646597946641691
E1_synthetic_chain,0.0,10000,20260919,hard_ot,0.0772147000006953,0.942857142857143,1.0,0.0842235688854316,0.0
E1_synthetic_chain,0.0,10000,20260920,soft_iot,0.3605435999998008,0.942857142857143,1.0,0.006352779285815524,1.5672384190423827
E1_synthetic_chain,0.0,10000,20260920,hard_ot,0.0720141000001604,0.942857142857143,1.0,0.0994587517457047,0.0
E1_synthetic_chain,0.15,2000,20260916,soft_iot,0.4534897000003184,0.942857142857143,1.0,0.0023007231217438153,2.014972279695826
E1_synthetic_chain,0.15,2000,20260916,hard_ot,0.08056990000022779,0.942857142857143,1.0,0.057804238593771165,-1.7763568394002505e-09
E1_synthetic_chain,0.15,2000,20260917,soft_iot,0.3835583999998562,1.0,1.0,0.013583738231124756,2.6546668898674852
E1_synthetic_chain,0.15,2000,20260917,hard_ot,0.07659759999933158,0.942857142857143,1.0,0.06403556089143754,1.7763568394002505e-09
E1_synthetic_chain,0.15,2000,20260918,soft_iot,0.37328660000002856,0.8285714285714287,1.0,0.021126675962209355,2.204993996279825
E1_synthetic_chain,0.15,2000,20260918,hard_ot,0.08644430000003922,0.8285714285714287,1.0,0.12216570870159224,0.0
E1_synthetic_chain,0.15,2000,20260919,soft_iot,0.3313437000006161,0.942857142857143,1.0,0.007735216117978838,1.2650725658147621
E1_synthetic_chain,0.15,2000,20260919,hard_ot,0.0855163000005632,0.942857142857143,1.0,0.11579867387606098,0.0
E1_synthetic_chain,0.15,2000,20260920,soft_iot,0.3612305999995442,0.942857142857143,1.0,0.0055725905005127255,1.5543243288007602
E1_synthetic_chain,0.15,2000,20260920,hard_ot,0.0686347000000751,0.942857142857143,1.0,0.11635060402361479,0.0
